identifier,pm_id,pmc_id,doi,title,abstract,keywords,authors,journal,article_type,year,project_serial_num,project_num,dbgap_accession,research_initiative,sub_project,likert_score,explanation_DeepSeek-R1-Distill-Qwen-32B,explanation_Llama-3.3-70B-Instruct
34162440_phs002583.v1.p1,34162440,PMC8220125,doi:10.1186/s13578-021-00626-0,Deletion of ER-retention motif on SARS-CoV-2 spike protein reduces cell hybrid during cell-cell fusion.,"The novel SARS-CoV-2 has quickly become a global pandemic since the first reported case in December 2019, with the virus infecting millions of people to date. The spike (S) protein of the SARS-CoV-2 virus plays a key role in binding to angiotensin-converting enzyme 2 (ACE2), a host cell receptor for SARS-CoV-2. S proteins that are expressed on the cell membrane can initiate receptor-dependent syncytia formation that is associated with extensive tissue damage. Formation of syncytia have been previously observed in cells infected with various other viruses (e.g., HIV, Ebola, Influenza, and Herpesviruses). However, this phenomenon is not well documented and the mechanisms regulating the formation of the syncytia by SARS-CoV-2 are not fully understood. In this study, we investigated the possibility that cell fusion events mediated by the S protein of SARS-CoV-2 and ACE2 interaction can occur in different human cell lines that mimic different tissue origins. These cell lines were transduced with either wild-type (WT-S) S protein or a mutated variant where the ER-retention motif was removed (Δ19-S), as well as human ACE2 expression vectors. Different co-culture combinations of spike-expressing 293T, A549, K562, and SK-Hep1 cells with hACE2-expressing cells revealed cell hybrid fusion. However, only certain cells expressing S protein can form syncytial structures as this phenomenon cannot be observed in all co-culture combinations. Thus, SARS-CoV-2 mediated cell-cell fusion represents a cell type-dependent process which might rely on a different set of parameters. Recently, the Δ19-S variant is being widely used to increase SARS-CoV-2 pseudovirus production for in vitro assays. Comparison of cell fusion occurring via Δ19-S expressing cells shows defective nuclear fusion and syncytia formation compared to WT-S. This distinction between the Δ19-S variant and WT-S protein may have downstream implications for studies that utilize pseudovirus-based entry assays. Additionally, this study suggest that spike protein expressed by vaccines may affect different ACE2-expressing host cells after SARS-CoV-2 vaccine administration. The long-term effects of these vaccines should be monitored carefully. Δ19-S mRNA may represent a safer mRNA vaccine design in the future.",ACE2|COVID-19|Cell fusion|Cell hybrid|SARS-CoV-2|Spike protein|Syncytia,"Wang, Xuening|Chen, Chih-Hsiung|Badeti, Saiaditya|Cho, Jong Hyun|Naghizadeh, Alireza|Wang, Ziren|Liu, Dongfang",Cell & bioscience,Journal Article,2021,HL150852,5U01HL150852-02,phs002583.v1.p1,RADx-rad,Novel Biosensing and VOC,2.0,"The publication abstract discusses the role of the SARS-CoV-2 spike protein in cell fusion and its implications for vaccine design. While it relates to the virus's biology, it does not address the development of biosensing technologies or diagnostic tools for COVID-19 as outlined in the funding opportunity and grant abstract. Therefore, it is not directly relevant to the research objectives of the funding opportunity.","The publication abstract does not directly address the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on developing novel biosensing and detection approaches for COVID-19, such as a rapid breathalyzer diagnostics platform. In contrast, the publication abstract discusses the deletion of an ER-retention motif on the SARS-CoV-2 spike protein and its effect on cell-cell fusion, which is a different research topic. While the publication abstract is related to COVID-19 research, it does not align with the specific objectives of the funding opportunity or grant abstract."
34242462_phs002744.v1.p1,34242462,PMC8390435,doi:10.1002/anie.202107660,Mechanically Triggered Hybridization Chain Reaction.,"Cells transmit piconewton forces to receptors to mediate processes such as migration and immune recognition. A major challenge in quantifying such forces is the sparsity of cell mechanical events. Accordingly, molecular tension is typically quantified with high resolution fluorescence microscopy, which hinders widespread adoption and application. Here, we report a mechanically triggered hybridization chain reaction (mechano-HCR) that allows chemical amplification of mechanical events. The amplification is triggered when a cell receptor mechanically denatures a duplex revealing a cryptic initiator to activate the HCR reaction in situ. Importantly, mechano-HCR enables direct readout of pN forces using a plate reader. We leverage this capability and measured mechano-IC<sub>50</sub> for aspirin, Y-27632, and eptifibatide. Given that cell mechanical phenotypes are of clinical importance, mechano-HCR may offer a convenient route for drug discovery, personalized medicine, and disease diagnosis.",Aspirin|Eptifibatide|Humans|Nucleic Acid Hybridization|biosensors|cellular receptor tension|drug screening|hybridization chain reaction|nanotechnology,"Duan, Yuxin|Glazier, Roxanne|Bazrafshan, Alisina|Hu, Yuesong|Rashid, Sk Aysha|Petrich, Brian G|Ke, Yonggang|Salaita, Khalid",Angewandte Chemie (International ed. in English),"Journal Article|Research Support, N.I.H., Extramural|Research Support, U.S. Gov't, Non-P.H.S.",2021,AA029345,1U01AA029345-01,phs002744.v1.p1,RADx-rad,Automatic Detection & Tracing,2.0,"The publication abstract describes a mechanically triggered hybridization chain reaction (mechano-HCR) for detecting piconewton forces, which is a different technology from the Rolosense platform described in the grant abstract. While both involve DNA-based sensing, the publication focuses on force detection using HCR, whereas the grant is about virus detection using DNA micromotors and smart phone readout. The publication does not address the objectives of the funding opportunity related to SARS-CoV-2 detection or the grant's specific aims.","The publication abstract does not directly address the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of innovative platforms for automatic detection and tracing of SARS-CoV-2 in real-time, while the publication abstract discusses a mechanically triggered hybridization chain reaction (mechano-HCR) for measuring piconewton forces in cell mechanical events. Although both topics involve biosensing and molecular interactions, they appear to be unrelated in terms of their specific research objectives and applications."
34304585_phs003124.v1.p1,34304585,PMC8363557,doi:10.1161/HYPERTENSIONAHA.120.16690,Degradation of Premature-miR-181b by the Translin/Trax RNase Increases Vascular Smooth Muscle Cell Stiffness.,[Figure: see text].,"Animals|Aorta|Arginine Vasopressin|DNA-Binding Proteins|Mice|MicroRNAs|Muscle, Smooth, Vascular|Myocytes, Smooth Muscle|Vascular Stiffness|aorta|cardiovascular diseases|microRNA degradation|risk factors|vascular smooth muscle|vasopressin","Tuday, Eric|Nakano, Mitsunori|Akiyoshi, Kei|Fu, Xiuping|Shah, Aparna P|Yamaguchi, Atsushi|Steenbergen, Charles|Santhanam, Lakshmi|An, Steven S|Berkowitz, Dan|Baraban, Jay M|Das, Samarjit","Hypertension (Dallas, Tex. : 1979)","Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",2021,TR003780,1U18TR003780-01,phs003124.v1.p1,RADx-rad,Exosome,1.5,"The publication abstract discusses the degradation of premature-miR-181b by the Translin/Trax RNase and its effect on vascular smooth muscle cell stiffness. This topic is unrelated to the research objectives of the funding opportunity, which focuses on developing exosome-based technologies for SARS-CoV-2 detection. The publication does not address any aspects of COVID-19 diagnostics, exosome isolation, or the RADx-rad initiative.","The publication abstract does not directly address the research objectives of the funding opportunity or the grant abstract, which focus on the development of exosome-based non-traditional technologies for SARS-CoV-2 detection. The publication abstract discusses the degradation of premature-miR-181b by the Translin/Trax RNase and its effect on vascular smooth muscle cell stiffness, which is not related to the topic of SARS-CoV-2 diagnostics or exosome-based technologies."
34309076_phs002744.v1.p1,34309076,PMC8595730,doi:10.1002/adma.202006600,Programmable Mechanically Active Hydrogel-Based Materials.,"Programmable mechanically active materials (MAMs) are defined as materials that can sense and transduce external stimuli into mechanical outputs or conversely that can detect mechanical stimuli and respond through an optical change or other change in the appearance of the material. Programmable MAMs are a subset of responsive materials and offer potential in next generation robotics and smart systems. This review specifically focuses on hydrogel-based MAMs because of their mechanical compliance, programmability, biocompatibility, and cost-efficiency. First, the composition of hydrogel MAMs along with the top-down and bottom-up approaches used for programming these materials are discussed. Next, the fundamental principles for engineering responsivity in MAMS, which includes optical, thermal, magnetic, electrical, chemical, and mechanical stimuli, are considered. Some advantages and disadvantages of different responsivities are compared. Then, to conclude, the emerging applications of hydrogel-based MAMs from recently published literature, as well as the future outlook of MAM studies, are summarized.",artificial muscles|force sensors|mechanical active materials|programmable hydrogel actuators|smart skin,"Dong, Yixiao|Ramey-Ward, Allison N|Salaita, Khalid","Advanced materials (Deerfield Beach, Fla.)",Journal Article|Review,2021,AA029345,1U01AA029345-01,phs002744.v1.p1,RADx-rad,Automatic Detection & Tracing,2.0,"The publication abstract discusses programmable mechanically active hydrogel-based materials, which are responsive materials with applications in robotics and smart systems. While the grant abstract focuses on developing a virus-sensing platform (Rolosense) using DNA micromotors for real-time detection of SARS-CoV-2, the publication does not directly address virus detection, biosensing, or the specific objectives outlined in the funding opportunity. The publication's focus on hydrogels and their mechanical responses is tangentially related to biosensing but does not demonstrate a clear connection to the grant's aims.","The publication abstract does not directly address the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of innovative platforms for automatic detection and tracing of SARS-CoV-2, while the publication abstract discusses programmable mechanically active hydrogel-based materials, which is a different topic. Although the publication abstract mentions responsive materials and their potential applications, it does not specifically relate to the detection of SARS-CoV-2 or the development of diagnostic technologies. Therefore, the publication is not strongly related to the research objectives of the funding opportunity and/or the grant abstract."
34367128_phs002583.v1.p1,34367128,PMC8343231,doi:10.3389/fimmu.2021.652223,CAR-NK Cells Effectively Target SARS-CoV-2-Spike-Expressing Cell Lines <i>In Vitro</i>.,"Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) is highly contagious and presents a significant public health issue. Current therapies used to treat coronavirus disease 2019 (COVID-19) include monoclonal antibody cocktail, convalescent plasma, antivirals, immunomodulators, and anticoagulants. The vaccines from Pfizer and Moderna have recently been authorized for emergency use, which are invaluable for the prevention of SARS-CoV-2 infection. However, their long-term side effects are not yet documented, and populations with immunocompromised conditions (e.g., organ-transplantation and immunodeficient patients) may not be able to mount an effective immune response. In addition, there are concerns that wide-scale immunity to SARS-CoV-2 may introduce immune pressure that could select for escape mutants to the existing vaccines and monoclonal antibody therapies. Emerging evidence has shown that chimeric antigen receptor (CAR)- natural killer (NK) immunotherapy has potent antitumor response in hematologic cancers with minimal adverse effects in recent studies, however, the potentials of CAR-NK cells in treating COVID-19 has not yet been fully exploited. Here, we improve upon a novel approach for the generation of CAR-NK cells for targeting SARS-CoV-2 and its various mutants. CAR-NK cells were generated using the scFv domain of S309 (henceforward, S309-CAR-NK), a SARS-CoV and SARS-CoV-2 neutralizing antibody (NAbs) that targets the highly conserved region of SARS-CoV-2 spike (S) glycoprotein and is therefore more likely to recognize different variants of SARS-CoV-2 isolates. S309-CAR-NK cells can specifically bind to pseudotyped SARS-CoV-2 virus and its D614G, N501Y, and E484K mutants. Furthermore, S309-CAR-NK cells can specifically kill target cells expressing SARS-CoV-2 S protein <i>in vitro</i> and show superior killing activity and cytokine production, compared to that of the recently reported CR3022-CAR-NK cells. Thus, these results pave the way for generating 'off-the-shelf' S309-CAR-NK cells for treatment in high-risk individuals as well as provide an alternative strategy for patients unresponsive to current vaccines.","A549 Cells|CAR (chimeric antigen receptor)|COVID-19|E484K variant|Gene Expression Regulation|Hep G2 Cells|Humans|Killer Cells, Natural|N501Y variant|NK cells|Receptors, Chimeric Antigen|SARS-CoV-2|Spike Glycoprotein, Coronavirus|off-the-shelf","Ma, Minh Tuyet|Badeti, Saiaditya|Chen, Chih-Hsiung|Kim, James|Choudhary, Alok|Honnen, Bill|Reichman, Charles|Calianese, David|Pinter, Abraham|Jiang, Qingkui|Shi, Lanbo|Zhou, Renping|Xu, Huanbin|Li, Qingsheng|Gause, William|Liu, Dongfang",Frontiers in immunology,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",2021,HL150852,5U01HL150852-02,phs002583.v1.p1,RADx-rad,Novel Biosensing and VOC,1.5,"The publication abstract focuses on CAR-NK cell therapy targeting SARS-CoV-2, which is unrelated to the funding opportunity and grant abstract that focus on developing biosensing and detection technologies for COVID-19. The publication discusses immunotherapy approaches, while the funding opportunity is about diagnostic devices.","The publication abstract is related to COVID-19, but it focuses on the development of CAR-NK cells as a potential treatment, which is not directly related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of novel biosensing and detection approaches for COVID-19, such as a rapid breathalyzer diagnostics platform, whereas the publication abstract explores immunotherapy using CAR-NK cells. While both are related to COVID-19, they are distinct areas of research."
34388979_phs002527.v1.p1,34388979,PMC8360813,doi:10.1186/s12879-021-06526-5,Use of hemagglutinin and neuraminidase amplicon-based high-throughput sequencing with variant analysis to detect co-infection and resolve identical consensus sequences of seasonal influenza in a university setting.,"Local transmission of seasonal influenza viruses (IVs) can be difficult to resolve. Here, we study if coupling high-throughput sequencing (HTS) of hemagglutinin (HA) and neuraminidase (NA) genes with variant analysis can resolve strains from local transmission that have identical consensus genome. We analyzed 24 samples collected over four days in January 2020 at a large university in the US. We amplified complete hemagglutinin (HA) and neuraminidase (NA) genomic segments followed by Illumina sequencing. We identified consensus complete HA and NA segments using BLASTn and performed variant analysis on strains whose HA and NA segments were 100% similar. Twelve of the 24 samples were PCR positive, and we detected complete HA and/or NA segments by de novo assembly in 83.33% (10/12) of them. Similarity and phylogenetic analysis showed that 70% (7/10) of the strains were distinct while the remaining 30% had identical consensus sequences. These three samples also had IAV and IBV co-infection. However, subsequent variant analysis showed that they had distinct variant profiles. While the IAV HA of one sample had no variant, another had a T663C mutation and another had both C1379T and C1589A. In this study, we showed that HTS coupled with variant analysis of only HA and NA genes can help resolve variants that are closely related. We also provide evidence that during a short time period in the 2019-2020 season, co-infection of IAV and IBV occurred on the university campus and both 2020/2021 and 2021/2022 WHO recommended H1N1 vaccine strains were co-circulating.","Arizona|Coinfection|Consensus Sequence|Genetic Variation|HTS|Hemagglutinin Glycoproteins, Influenza Virus|Hemagglutinins|High-Throughput Nucleotide Sequencing|Humans|Influenza A Virus, H1N1 Subtype|Influenza virus|Influenza, Human|Local transmission|Neuraminidase|Orthomyxoviridae|Phylogeny|Seasons|Variant analysis","Faleye, Temitope O C|Adams, Deborah|Adhikari, Sangeet|Sandrolini, Helen|Halden, Rolf U|Varsani, Arvind|Scotch, Matthew",BMC infectious diseases,Journal Article,2021,LM013129,3U01LM013129-02S1,phs002527.v1.p1,RADx-rad,Wastewater,2.0,"The publication abstract focuses on the use of high-throughput sequencing (HTS) for detecting seasonal influenza viruses, specifically analyzing hemagglutinin and neuraminidase genes. While it discusses HTS and variant analysis, the context is entirely different from the funding opportunity and grant abstract, which are centered on wastewater-based epidemiology (WBE) for SARS-CoV-2. The publication does not address any aspects of WBE, such as sample collection, analysis approaches, intervention strategies, or computational models related to COVID-19. Therefore, the publication is not directly related to the research objectives outlined in the funding opportunity or the grant abstract.","The publication abstract is not directly related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on wastewater-based testing for SARS-CoV-2 and COVID-19, while the publication abstract discusses the use of high-throughput sequencing to detect co-infection and resolve identical consensus sequences of seasonal influenza in a university setting. Although both involve the use of sequencing technologies, the topics and applications are distinct, and the publication abstract does not address the specific aims or objectives outlined in the funding opportunity or grant abstract."
34407929_phs002544.v1.p1,34407929,PMC8373113,doi:10.1126/sciadv.abi5502,Acoustic tweezer with complex boundary-free trapping and transport channel controlled by shadow waveguides.,"Acoustic tweezers use ultrasound for contact-free, bio-compatible, and precise manipulation of particles from millimeter to submicrometer scale. In microfluidics, acoustic tweezers typically use an array of sources to create standing wave patterns that can trap and move objects in ways constrained by the limited complexity of the acoustic wave field. Here, we demonstrate spatially complex particle trapping and manipulation inside a boundary-free chamber using a single pair of sources and an engineered structure outside the chamber that we call a shadow waveguide. The shadow waveguide creates a tightly confined, spatially complex acoustic field inside the chamber without requiring any interior structure that would interfere with net flow or transport. Altering the input signals to the two sources creates trapped particle motion along an arbitrary path defined by the shadow waveguide. Particle trapping, particle manipulation and transport, and Thouless pumping are experimentally demonstrated.",,"Li, Junfei|Shen, Chen|Huang, Tony Jun|Cummer, Steven A",Science advances,Journal Article,2021,TR003778,1U18TR003778-01,phs002544.v1.p1,RADx-rad,Exosome,2.5,"The publication abstract describes an acoustic tweezer technology with complex trapping and transport capabilities, which is related to the broader field of microfluidics and particle manipulation. However, the publication does not explicitly mention the detection of SARS-CoV-2, exosomes, or the RADx-rad initiative. While the technology could potentially be applied to the objectives of the funding opportunity, the abstract does not provide sufficient evidence of direct relevance to the specific aims of the grant.","The publication abstract does not directly address the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of technologies for the detection of SARS-CoV-2 using single extracellular vesicle, exosome, and extracellular RNA (exRNA) isolation and analysis. The publication abstract, on the other hand, discusses the development of an acoustic tweezer with complex boundary-free trapping and transport channel controlled by shadow waveguides, which does not appear to be directly related to SARS-CoV-2 detection or exosome isolation and analysis. While the publication abstract does mention the use of acoustic techniques for particle manipulation, it does not specifically mention exosomes or SARS-CoV-2, and the connection to the funding opportunity and grant abstract is not clear."
34428777_phs002604.v1.p1,34428777,PMC8481122,doi:10.1038/s41586-021-03908-2,Emergence and expansion of SARS-CoV-2 B.1.526 after identification in New York.,"SARS-CoV-2 infections have surged across the globe in recent months, concomitant with considerable viral evolution<sup>1-3</sup>. Extensive mutations in the spike protein may threaten the efficacy of vaccines and therapeutic monoclonal antibodies<sup>4</sup>. Two signature spike mutations of concern are E484K, which has a crucial role in the loss of neutralizing activity of antibodies, and N501Y, a driver of rapid worldwide transmission of the B.1.1.7 lineage. Here we report the emergence of the variant lineage B.1.526 (also known as the Iota variant<sup>5</sup>), which contains E484K, and its rise to dominance in New York City in early 2021. This variant is partially or completely resistant to two therapeutic monoclonal antibodies that are in clinical use and is less susceptible to neutralization by plasma from individuals who had recovered from SARS-CoV-2 infection or serum from vaccinated individuals, posing a modest antigenic challenge. The presence of the B.1.526 lineage has now been reported in all 50 states in the United States and in many other countries. B.1.526 rapidly replaced earlier lineages in New York, with an estimated transmission advantage of 35%. These transmission dynamics, together with the relative antibody resistance of its E484K sub-lineage, are likely to have contributed to the sharp rise and rapid spread of B.1.526. Although SARS-CoV-2 B.1.526 initially outpaced B.1.1.7 in the region, its growth subsequently slowed concurrently with the rise of B.1.1.7 and ensuing variants.","Antibodies, Neutralizing|COVID-19|Humans|Mutation|New York|Phylogeny|Phylogeography|Prevalence|SARS-CoV-2|Spike Glycoprotein, Coronavirus|United States","Annavajhala, Medini K|Mohri, Hiroshi|Wang, Pengfei|Nair, Manoj|Zucker, Jason E|Sheng, Zizhang|Gomez-Simmonds, Angela|Kelley, Anne L|Tagliavia, Maya|Huang, Yaoxing|Bedford, Trevor|Ho, David D|Uhlemann, Anne-Catrin",Nature,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",2021,DA053949,1U01DA053949-01,phs002604.v1.p1,RADx-rad,Wastewater,2.0,"The publication abstract discusses the emergence and spread of the SARS-CoV-2 B.1.526 variant, focusing on its genetic mutations and impact on antibody resistance. While this is related to COVID-19 research, it does not address the specific objectives of the funding opportunity, which focuses on wastewater-based testing (WBT) for surveillance and tracking of the virus. The grant abstract emphasizes optimizing WBT strategies, including sampling modalities, metatranscriptomics, and microfluidics systems, none of which are mentioned in the publication. Therefore, the publication is not directly related to the research objectives outlined in the funding opportunity and grant abstract.","The publication abstract discusses the emergence and expansion of the SARS-CoV-2 B.1.526 variant, its resistance to therapeutic monoclonal antibodies, and its transmission dynamics. While the publication is related to COVID-19, which is the focus of the funding opportunity and grant abstract, it does not specifically address wastewater-based testing (WBT) or the optimization of WBT surveillance strategies, which are the primary objectives of the funding opportunity and grant abstract. The publication's focus on viral evolution and variant transmission is tangentially related to the grant's goal of tracking COVID-19 in sewage, but it does not directly contribute to the development of WBT methods or protocols."
34504351_phs002525.v1.p1,34504351,PMC8985210,doi:10.1038/s41587-021-01049-5,Performance assessment of DNA sequencing platforms in the ABRF Next-Generation Sequencing Study.,"Assessing the reproducibility, accuracy and utility of massively parallel DNA sequencing platforms remains an ongoing challenge. Here the Association of Biomolecular Resource Facilities (ABRF) Next-Generation Sequencing Study benchmarks the performance of a set of sequencing instruments (HiSeq/NovaSeq/paired-end 2 × 250-bp chemistry, Ion S5/Proton, PacBio circular consensus sequencing (CCS), Oxford Nanopore Technologies PromethION/MinION, BGISEQ-500/MGISEQ-2000 and GS111) on human and bacterial reference DNA samples. Among short-read instruments, HiSeq 4000 and X10 provided the most consistent, highest genome coverage, while BGI/MGISEQ provided the lowest sequencing error rates. The long-read instrument PacBio CCS had the highest reference-based mapping rate and lowest non-mapping rate. The two long-read platforms PacBio CCS and PromethION/MinION showed the best sequence mapping in repeat-rich areas and across homopolymers. NovaSeq 6000 using 2 × 250-bp read chemistry was the most robust instrument for capturing known insertion/deletion events. This study serves as a benchmark for current genomics technologies, as well as a resource to inform experimental design and next-generation sequencing variant calling.","Base Pair Mismatch|Benchmarking|DNA|DNA, Bacterial|Genome, Bacterial|Genome, Human|High-Throughput Nucleotide Sequencing|Humans|Sequence Analysis, DNA","Foox, Jonathan|Tighe, Scott W|Nicolet, Charles M|Zook, Justin M|Byrska-Bishop, Marta|Clarke, Wayne E|Khayat, Michael M|Mahmoud, Medhat|Laaguiby, Phoebe K|Herbert, Zachary T|Warner, Derek|Grills, George S|Jen, Jin|Levy, Shawn|Xiang, Jenny|Alonso, Alicia|Zhao, Xia|Zhang, Wenwei|Teng, Fei|Zhao, Yonggang|Lu, Haorong|Schroth, Gary P|Narzisi, Giuseppe|Farmerie, William|Sedlazeck, Fritz J|Baldwin, Don A|Mason, Christopher E",Nature biotechnology,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|Research Support, U.S. Gov't, Non-P.H.S.|Validation Study",2021,DA053941,1U01DA053941-01,phs002525.v1.p1,RADx-rad,Wastewater,1.5,"The publication abstract discusses a performance assessment of DNA sequencing platforms, which is unrelated to the funding opportunity and grant abstract focused on wastewater-based surveillance for COVID-19. The publication does not address any aspects of wastewater testing, sample collection, analysis, or the integration with human health surveillance as outlined in the grant. Therefore, it is not relevant to the research objectives of the funding opportunity.","The publication abstract is focused on assessing the performance of DNA sequencing platforms, which is not directly related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract are focused on developing and implementing wastewater-based surveillance for SARS-CoV-2 detection, while the publication abstract discusses the evaluation of DNA sequencing technologies. Although both topics involve genetic analysis, they are distinct and unrelated, leading to a conclusion that the publication is not strongly related to the funding opportunity or grant abstract."
34528661_phs002609.v1.p1,34528661,PMC8499989,doi:10.1093/ibd/izab207,Antibody Responses to SARS-CoV-2 After Infection or Vaccination in Children and Young Adults With Inflammatory Bowel Disease.,"Characterization of neutralization antibodies to SARS-CoV-2 infection or vaccination in children and young adults with inflammatory bowel disease (IBD) receiving biologic therapies is crucial. We performed a prospective longitudinal cohort study evaluating SARS-CoV-2 spike protein receptor binding domain (S-RBD) IgG positivity along with consistent clinical symptoms in patients with IBD receiving infliximab or vedolizumab. Serum was also obtained following immunization with approved vaccines. The IgG antibody to the spike protein binding domain of SARS-CoV-2 was assayed with a fluorescent bead-based immunoassay that takes advantage of the high dynamic range of fluorescent molecules using flow cytometry. A sensitive and high-throughput neutralization assay that incorporates SARS-CoV-2 spike protein onto a lentivirus and measures pseudoviral entry into ACE2-angiotensin converting enzyme 2 (ACE2) expressing human embryonic kidney 293 (HEK-293) cells was used. There were 436 patients enrolled (mean age, 17 years, range 2-26 years; 58% male; 71% Crohn's disease, 29% ulcerative colitis, IBD-unspecified). Forty-four (10%) of enrolled subjects had SARS-CoV-2 S-RBD IgG antibodies. Compared to non-IBD adults (ambulatory) and hospitalized pediatric patients with PCR documented SARS-CoV-2 infection, S-RBD IgG antibody levels were significantly lower in the IBD cohort and by 6 months post infection most patients lacked neutralizing antibody. Following vaccination (n = 33), patients had a 15-fold higher S-RBD antibody response in comparison with natural infection, and all developed neutralizing antibodies to both wild type and variant SARS-CoV-2. The lower and less durable SARS-CoV-2 S-RBD IgG response to natural infection in IBD patients receiving biologics puts them at risk of reinfection. The robust response to immunization is likely protective.","Adolescent|Adult|Angiotensin-Converting Enzyme 2|Antibodies, Neutralizing|Antibodies, Viral|Antibody Formation|COVID-19|COVID-19 Vaccines|Child|Child, Preschool|Female|HEK293 Cells|Humans|Immunoglobulin G|Inflammatory Bowel Diseases|Longitudinal Studies|Male|Prospective Studies|SARS-CoV-2|Spike Glycoprotein, Coronavirus|Vaccination|Young Adult","Dailey, Joelynn|Kozhaya, Lina|Dogan, Mikail|Hopkins, Dena|Lapin, Blaine|Herbst, Katherine|Brimacombe, Michael|Grandonico, Kristen|Karabacak, Fatih|Schreiber, John|Liang, Bruce Tsan-Liang|Salazar, Juan C|Unutmaz, Derya|Hyams, Jeffrey S",Inflammatory bowel diseases,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",2022,HD105613,1R61HD105613-01,phs002609.v1.p1,RADx-rad,PreVAIL kIds,3.0,"The publication abstract focuses on antibody responses to SARS-CoV-2 in children and young adults with inflammatory bowel disease (IBD) receiving biologic therapies. While it discusses SARS-CoV-2 and its impact on specific patient populations, it does not address the development of diagnostic tools or biomarkers for MIS-C, which is the primary focus of the funding opportunity and grant abstract. Therefore, the publication is not directly related to the research objectives outlined in the funding opportunity and grant.","The publication abstract is related to the research objectives of the funding opportunity and the grant abstract. The funding opportunity aims to develop novel approaches to diagnose and characterize Multisystem Inflammatory Syndrome in Children (MIS-C) associated with SARS-CoV-2 infection. The grant abstract proposes to develop a diagnostic tool using a Grating-Coupled Fluorescence Plasmonic (GCFP) chip to identify biomarkers for MIS-C. The publication abstract, although focused on antibody responses to SARS-CoV-2 in children and young adults with inflammatory bowel disease, shares a common theme of investigating immune responses to SARS-CoV-2 infection, which is relevant to understanding MIS-C. Additionally, the publication's use of immunoassays and neutralization assays to study antibody responses could be seen as complementary to the grant's proposal to identify biomarkers for MIS-C. However, the publication's primary focus on inflammatory bowel disease and vaccine responses, rather than directly addressing MIS-C or the development of a diagnostic tool, prevents a stronger agreement (score of 5)."
34549450_phs002689.v1.p1,34549450,PMC9135676,doi:10.1111/imr.13028,Regulation of airway immunity by epithelial miRNAs.,"The airway epithelium is essential to protect the host from inhaled pathogens and particles. It maintains immune homeostasis and mediates tissue repair after injury. Inflammatory diseases of the airways are associated with failure of epithelial functions, including loss of barrier integrity that results in increased tissue permeability and immune activation; excessive mucus secretion and impaired mucociliary clearance that leads to airflow obstruction and microbial overgrowth; and dysregulation of cellular signals that promotes inflammation and alters tissue structure and airway reactivity. MicroRNAs play crucial roles in mounting appropriate cellular responses to environmental stimuli and preventing disease, using a common machinery and mechanism to regulate gene expression in epithelial cells, immune cells of hematopoietic origin, and other cellular components of the airways. Respiratory diseases are accompanied by dramatic changes in epithelial miRNA expression that drive persistent immune dysregulation. In this review, we discuss responses of the epithelium that promote airway immunopathology, with a focus on miRNAs that contribute to the breakdown of essential epithelial functions. We emphasize the emerging role of miRNAs in regulation of epithelial responses in respiratory health and their value as diagnostic and therapeutic targets.",Epithelial Cells|Epithelium|Lung|MicroRNAs|Respiratory Mucosa|airway epithelium|airway immunity|inflammation|miRNA|respiratory disease,"Johansson, Kristina|Woodruff, Prescott G|Ansel, Karl Mark",Immunological reviews,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|Review",2021,HL146002,3U01HL146002-04S2,phs002689.v1.p1,RADx-rad,Novel Biosensing and VOC,1.5,"The publication abstract discusses the role of microRNAs in airway immunity and their potential as diagnostic and therapeutic targets. However, it does not address the specific objectives of the funding opportunity, which focuses on developing novel biosensing technologies for COVID-19 detection. The publication's content is unrelated to the development of rapid saliva antigen tests or any biosensing approaches mentioned in the grant abstract.","The publication abstract is not directly related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of novel biosensing and detection approaches for COVID-19, while the publication abstract discusses the regulation of airway immunity by epithelial miRNAs, which is a different topic. Although both are related to health and biology, they do not share a common goal or objective."
