identifier,pm_id,pmc_id,doi,title,keywords,authors,journal,article_type,year,project_serial_num,project_num,dbgap_accession,research_initiative,sub_project,likert_score,explanation_DeepSeek-R1-Distill-Qwen-32B,explanation_Llama-3.3-70B-Instruct
34654633_phs002563.v1.p1,34654633,,doi:10.1053/j.jvca.2021.09.032,2021 Clinical Practice Guidelines for Anesthesiologists on Patient Blood Management in Cardiac Surgery.,Anesthesiologists|Anesthesiology|Blood Transfusion|Cardiac Surgical Procedures|Humans|Practice Guidelines as Topic,"Huang, Jiapeng|Firestone, Scott|Moffatt-Bruce, Susan|Tibi, Pierre|Shore-Lesserson, Linda",Journal of cardiothoracic and vascular anesthesia,"Editorial|Research Support, N.I.H., Extramural",2021,TR003787,1U18TR003787-01,phs002563.v1.p1,RADx-rad,SCENT,1.0,"The publication abstract provided is about clinical practice guidelines for anesthesiologists on patient blood management in cardiac surgery, which is unrelated to the funding opportunity and grant abstract focused on developing a handheld breath analysis technology for COVID-19 detection. There is no overlap in the research objectives or subject matter.","The publication abstract provided does not relate to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of novel biosensing technologies for the detection of COVID-19, specifically through the analysis of volatile organic compounds (VOCs) in breath or skin. In contrast, the publication abstract discusses clinical practice guidelines for patient blood management in cardiac surgery, which is unrelated to the topic of COVID-19 detection or VOC analysis."
34736099_phs002544.v1.p1,34736099,PMC8643320,doi:10.1016/j.bios.2021.113730,Acoustofluidic multimodal diagnostic system for Alzheimer's disease.,"Acoustofluidics|Aged|Alzheimer Disease|Alzheimer's disease|Biosensing Techniques|Biosensor|Electrochemical|Humans|Immunoassay|Metal Nanoparticles|SERS|Silver|Spectrum Analysis, Raman","Hao, Nanjing|Wang, Zeyu|Liu, Pengzhan|Becker, Ryan|Yang, Shujie|Yang, Kaichun|Pei, Zhichao|Zhang, Peiran|Xia, Jianping|Shen, Liang|Wang, Lin|Welsh-Bohmer, Kathleen A|Sanders, Laurie|Lee, Luke P|Huang, Tony Jun",Biosensors & bioelectronics,Journal Article,2022,TR003778,1U18TR003778-01,phs002544.v1.p1,RADx-rad,Exosome,2.5,"The publication abstract describes an acoustofluidic diagnostic system for Alzheimer's disease, which uses similar technologies (acoustofluidic separation and SERS) as the grant abstract. However, the publication focuses on a different application (AD biomarkers) rather than SARS-CoV-2 detection. While there is some overlap in the technologies, the objectives and applications differ significantly.","The publication abstract is not directly related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of technologies for the detection of SARS-CoV-2 and COVID-19, while the publication abstract discusses a diagnostic system for Alzheimer's disease. Although the publication abstract mentions the use of acoustofluidic separation and surface-enhanced Raman spectroscopy (SERS), which are also mentioned in the grant abstract, the context and application are different. Therefore, the publication is not strongly related to the research objectives of the funding opportunity or the grant abstract."
34787963_phs002573.v1.p1,34787963,PMC8696222,doi:10.1002/cac2.12236,Detection of pancreatic cancer by indocyanine green-assisted fluorescence imaging in the first and second near-infrared windows.,Humans|Indocyanine Green|Optical Imaging|Pancreatic Neoplasms,"Li, Zhongqiang|Li, Zheng|Ramos, Alexandra|Boudreaux, J Philip|Thiagarajan, Ramcharan|Mattison, Yvette Bren|Dunham, Michael E|McWhorter, Andrew J|Chen, Qing|Zhang, Jian|Feng, Ji-Ming|Li, Yanping|Yao, Shaomian|Xu, Jian","Cancer communications (London, England)","Letter|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|Research Support, U.S. Gov't, Non-P.H.S.",2021,AA029348,1U01AA029348-01,phs002573.v1.p1,RADx-rad,Automatic Detection & Tracing,1.0,"The publication abstract focuses on the detection of pancreatic cancer using fluorescence imaging, which is unrelated to the objectives of the funding opportunity and grant abstract that aim to develop a system for automatic detection and tracing of SARS-CoV-2 using biosensing and digital devices. The publication does not address COVID-19, SARS-CoV-2, or any related technologies for virus detection and tracing.","The publication abstract is not related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of innovative platforms for detecting and tracing SARS-CoV-2, while the publication abstract discusses the detection of pancreatic cancer using indocyanine green-assisted fluorescence imaging. There is no overlap or connection between the topics, indicating a strong disagreement between the publication and the research objectives."
34862427_phs002689.v1.p1,34862427,PMC8642528,doi:10.1038/s41598-021-02869-w,Myeloid-associated differentiation marker is a novel SP-A-associated transmembrane protein whose expression on airway epithelial cells correlates with asthma severity.,"Adult|Animals|Asthma|Chromatography, Liquid|Disease Models, Animal|Eosinophils|Female|Humans|Male|Mice|Middle Aged|Myelin and Lymphocyte-Associated Proteolipid Proteins|Patient Acuity|Pulmonary Surfactant-Associated Protein A|Pyroglyphidae|Tandem Mass Spectrometry|Young Adult","Dy, Alane Blythe C|Langlais, Paul R|Barker, Natalie K|Addison, Kenneth J|Tanyaratsrisakul, Sasipa|Boitano, Scott|Christenson, Stephanie A|Kraft, Monica|Meyers, Deborah|Bleecker, Eugene R|Li, Xingnan|Ledford, Julie G",Scientific reports,"Journal Article|Research Support, N.I.H., Extramural",2021,HL146002,3U01HL146002-04S2,phs002689.v1.p1,RADx-rad,Novel Biosensing and VOC,1.5,"The publication abstract discusses the role of MYADM in asthma severity and its interaction with surfactant protein A (SP-A). This is unrelated to the funding opportunity and grant abstract, which focus on developing rapid saliva-based COVID-19 tests. The publication does not address any aspects of COVID-19, biosensing technologies, or the RADx-rad initiative.","The publication abstract does not directly address the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of novel biosensing and detection approaches for COVID-19, while the publication abstract discusses a novel protein associated with asthma severity. Although both topics relate to respiratory health, they are distinct and unrelated, indicating a disagreement between the publication and the research objectives."
34872606_phs002525.v1.p1,34872606,PMC8650396,doi:10.1186/s13059-021-02529-2,The SEQC2 epigenomics quality control (EpiQC) study.,"5-Methylcytosine|Algorithms|CpG Islands|DNA|DNA Methylation|Epigenesis, Genetic|Epigenome|Epigenomics|Genome, Human|High-Throughput Nucleotide Sequencing|Humans|Quality Control|Sequence Alignment|Sequence Analysis, DNA|Sulfites|Whole Genome Sequencing","Foox, Jonathan|Nordlund, Jessica|Lalancette, Claudia|Gong, Ting|Lacey, Michelle|Lent, Samantha|Langhorst, Bradley W|Ponnaluri, V K Chaithanya|Williams, Louise|Padmanabhan, Karthik Ramaswamy|Cavalcante, Raymond|Lundmark, Anders|Butler, Daniel|Mozsary, Christopher|Gurvitch, Justin|Greally, John M|Suzuki, Masako|Menor, Mark|Nasu, Masaki|Alonso, Alicia|Sheridan, Caroline|Scherer, Andreas|Bruinsma, Stephen|Golda, Gosia|Muszynska, Agata|Łabaj, Paweł P|Campbell, Matthew A|Wos, Frank|Raine, Amanda|Liljedahl, Ulrika|Axelsson, Tomas|Wang, Charles|Chen, Zhong|Yang, Zhaowei|Li, Jing|Yang, Xiaopeng|Wang, Hongwei|Melnick, Ari|Guo, Shang|Blume, Alexander|Franke, Vedran|Ibanez de Caceres, Inmaculada|Rodriguez-Antolin, Carlos|Rosas, Rocio|Davis, Justin Wade|Ishii, Jennifer|Megherbi, Dalila B|Xiao, Wenming|Liao, Will|Xu, Joshua|Hong, Huixiao|Ning, Baitang|Tong, Weida|Akalin, Altuna|Wang, Yunliang|Deng, Youping|Mason, Christopher E",Genome biology,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|Research Support, U.S. Gov't, Non-P.H.S.",2021,DA053941,1U01DA053941-01,phs002525.v1.p1,RADx-rad,Wastewater,1.0,"The publication abstract focuses on epigenomics quality control studies, specifically on DNA methylation techniques and their harmonization. This is unrelated to the funding opportunity and grant abstract, which are centered on developing and implementing wastewater-based surveillance for SARS-CoV-2 detection. The publication does not address any aspects of wastewater testing, sample collection, or computational models related to COVID-19 surveillance.","The publication abstract is unrelated to the research objectives of the funding opportunity and the grant abstract. The funding opportunity and grant abstract focus on the development of wastewater-based testing for SARS-CoV-2, while the publication abstract discusses epigenomics quality control and DNA methylation sequencing. There is no overlap in the topics or research objectives, indicating a strong disagreement between the publication and the funding opportunity/grant abstract."
34879063_phs003124.v1.p1,34879063,PMC8654194,doi:10.1371/journal.pone.0256973,Role of miR-181c in Diet-induced obesity through regulation of lipid synthesis in liver.,"Animals|Diet, High-Fat|Hepatocytes|Lipogenesis|Liver|Male|Mice|Mice, Knockout|MicroRNAs|Obesity|Triglycerides","Akiyoshi, Kei|Boersma, Gretha J|Johnson, Miranda D|Velasquez, Fernanda Carrizo|Dunkerly-Eyring, Brittany|O'Brien, Shannon|Yamaguchi, Atsushi|Steenbergen, Charles|Tamashiro, Kellie L K|Das, Samarjit",PloS one,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",2021,TR003780,1U18TR003780-01,phs003124.v1.p1,RADx-rad,Exosome,1.5,"The publication abstract discusses the role of miR-181c in diet-induced obesity and lipid synthesis in the liver, which is unrelated to the objectives of the funding opportunity and grant abstract focused on developing exosome-based diagnostic technologies for SARS-CoV-2. The publication does not address any aspects of COVID-19 diagnostics, exosome technology, or the RADx-rad initiative.","The publication abstract is not directly related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of diagnostic technologies for SARS-CoV-2 using exosome-based non-traditional approaches, whereas the publication abstract discusses the role of miR-181c in diet-induced obesity and lipid synthesis in the liver. Although miRNAs are mentioned in the grant abstract as part of the exomiR panel, the specific topic of the publication abstract is not relevant to the development of SARS-CoV-2 diagnostics."
34911654_phs002585.v1.p1,34911654,PMC8590844,doi:10.1016/j.healun.2021.11.001,SARS-CoV-2 anti-spike antibodies after vaccination in pediatric heart transplantation: A first report.,"Adolescent|Age Factors|Antibodies, Viral|Antibody Formation|COVID-19|COVID-19 Vaccines|Child|Female|Heart Transplantation|Humans|Male|Retrospective Studies|SARS-CoV-2|Spike Glycoprotein, Coronavirus|Young Adult|pediatric heart transplant","Spinner, Joseph A|Julien, Christopher L|Olayinka, Lily|Dreyer, William J|Bocchini, Claire E|Munoz, Flor M|Devaraj, Sridevi",The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,"Journal Article|Research Support, N.I.H., Extramural",2022,HD105593,1R61HD105593-01,phs002585.v1.p1,RADx-rad,PreVAIL kIds,3.0,"The publication abstract focuses on the antibody response to SARS-CoV-2 vaccination in pediatric heart transplant recipients, which is not directly related to the objectives of the funding opportunity and grant abstract. The funding opportunity aims to develop biomarkers and prognostic algorithms for MIS-C and COVID-19 severity in children, while the publication discusses vaccination outcomes and antibody levels in a specific patient population.","The publication abstract is related to the research objectives of the funding opportunity and the grant abstract. The funding opportunity aims to support innovative research to develop novel approaches to characterize the spectrum of SARS-CoV-2 associated illness in children and identify biomarkers for a prognostic algorithm to predict disease severity. The grant abstract proposes an artificial intelligence/machine learning approach to integrate a rich and heterogeneous dataset to characterize the spectrum of disease and identify biosignatures that predict severity in progressive disease. The publication abstract, although focused on a specific population (pediatric heart transplantation), investigates the antibody response to SARS-CoV-2 vaccination in children, which is relevant to understanding the immune response to SARS-CoV-2 in pediatric populations. The study's findings on the detectability of SARS-CoV-2 Anti-Spike IgG antibodies after vaccination in pediatric heart transplant recipients can inform the development of prognostic algorithms and biomarkers for disease severity in children. Therefore, the publication is related to the research objectives of the funding opportunity and the grant abstract."
34952008_phs002945.v1.p1,34952008,PMC8691954,doi:10.1016/j.jpeds.2021.12.025,mRNA Coronavirus Disease 2019 Vaccine-Associated Myopericarditis in Adolescents: A Survey Study.,"Adolescent|COVID-19|COVID-19 Vaccines|Humans|Myocarditis|RNA, Messenger|mRNA COVID-19 vaccine-associated myopericarditis|outcomes|survey|variability","Kohli, Utkarsh|Desai, Lavina|Chowdhury, Devyani|Harahsheh, Ashraf S|Yonts, Alexandra B|Ansong, Annette|Sabati, Arash|Nguyen, Hoang H|Hussain, Tarique|Khan, Danyal|Parra, David A|Su, Jennifer A|Patel, Jyoti K|Ronai, Christina|Bohun, Monique|Freij, Bishara J|O'Connor, Matthew J|Rosanno, Joseph W|Gupta, Aamisha|Salavitabar, Arash|Dorfman, Adam L|Hansen, Jesse|Frosch, Olivia|Profita, Elizabeth L|Maskatia, Shiraz|Thacker, Deepika|Shrivastava, Shubhika|Harris, Tyler H|Feingold, Brian|Berger, Stuart|Campbell, Michael|Idriss, Salim F|Das, Srikant|Renno, Markus S|Knecht, Ken|Asaki, S Yukiko|Patel, Sunil|Ashwath, Ravi|Shih, Renata|Phillips, John|Das, Bibhuti|Ramachandran, Preeti|Sagiv, Eyal|Bhat, Aarti H|Johnson, Jonathan N|Taggart, Nathaniel W|Imundo, Jason|Nakra, Natasha|Behere, Shashank|Patel, Anjlee|Aggarwal, Avichal|Aljemmali, Saif|Lang, Sean|Batlivala, Sarosh P|Forsha, Daniel E|Conners, Gregory P|Shaw, Jana|Smith, Frank C|Pauliks, Linda|Vettukattil, Joseph|Shaffer, Kenneth|Cheang, Stefanie|Voleti, Sonia|Shenoy, Rajesh|Komarlu, Rukmini|Ryan, Shea J|Snyder, Christopher|Bansal, Neha|Sharma, Madhu|Robinson, Jeffrey A|Arnold, Sandra R|Salvatore, Christine M|Kumar, Madan|Fremed, Michael A|Glickstein, Julie S|Perrotta, Melissa|Orr, William|Rozema, Tamika|Thirumoorthi, Muthayipalayam|Mullett, Charles J|Ang, Jocelyn Y",The Journal of pediatrics,"Case Reports|Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",2022,HD105591,1R61HD105591-01,phs002945.v1.p1,RADx-rad,PreVAIL kIds,1.5,"The publication abstract discusses mRNA COVID-19 vaccine-associated myopericarditis in adolescents, which is unrelated to the funding opportunity and grant abstract focused on MIS-C and Kawasaki Disease in children. The publication does not address the objectives of developing predictive algorithms or managing SARS-CoV-2 associated inflammatory syndromes.","The publication abstract does not directly address the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on developing novel approaches to identify and characterize the spectrum of SARS-CoV-2 associated illness in children, including multisystem inflammatory syndrome in children (MIS-C), and predicting the longitudinal risk of disease severity. In contrast, the publication abstract discusses mRNA COVID-19 vaccine-associated myopericarditis in adolescents, which is a different topic. While both are related to COVID-19, they are distinct areas of research, and the publication abstract does not align with the specific objectives of the funding opportunity or grant abstract."
34954726_phs002689.v1.p1,34954726,PMC8883347,doi:10.1097/MCO.0000000000000805,Specialized pro-resolving mediators in respiratory diseases.,"COVID-19|Fatty Acids, Omega-3|Fatty Acids, Omega-6|Fish Oils|Humans|Inflammation|SARS-CoV-2","Cagnina, R Elaine|Duvall, Melody G|Nijmeh, Julie|Levy, Bruce D",Current opinion in clinical nutrition and metabolic care,"Journal Article|Research Support, N.I.H., Extramural|Review",2022,HL146002,3U01HL146002-04S2,phs002689.v1.p1,RADx-rad,Novel Biosensing and VOC,1.5,"The publication abstract discusses specialized pro-resolving mediators (SPMs) in respiratory diseases, focusing on inflammation resolution and dietary supplementation. This is unrelated to the funding opportunity and grant abstract, which focus on developing rapid, non-invasive biosensing technologies for COVID-19 detection. The publication does not address the specific objectives of creating novel biosensing devices or advancing diagnostic tools for COVID-19.","The publication abstract is related to respiratory diseases, including COVID-19, but it focuses on the role of specialized pro-resolving mediators in inflammation resolution, which is not directly related to the development of novel biosensing and detection approaches for COVID-19 diagnosis, as stated in the funding opportunity and grant abstract. While the publication mentions COVID-19, its primary focus is on the underlying biological mechanisms of inflammation resolution, rather than on diagnostic technologies."
34972624_phs002563.v1.p1,34972624,PMC9018505,doi:10.1016/j.jopan.2021.06.007,Ketamine for Monitored Anesthesia Care During Transcatheter Aortic Valve Replacement.,"Anesthesia, General|Aortic Valve Stenosis|Humans|Ketamine|Length of Stay|Retrospective Studies|Risk Factors|TAVR|Transcatheter Aortic Valve Replacement|Treatment Outcome|cardiac arrest|general anesthesia|ketamine|monitored anesthesia care|mortality","Zhao, Chen B|Yu, Jianjian|Kong, Maiying|Han, Jiange|Du, Hongyin|Huang, Jiapeng",Journal of perianesthesia nursing : official journal of the American Society of PeriAnesthesia Nurses,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",2022,TR003787,1U18TR003787-01,phs002563.v1.p1,RADx-rad,SCENT,1.0,"The publication abstract discusses the use of ketamine during monitored anesthesia care for transcatheter aortic valve replacement, which is unrelated to the funding opportunity and grant abstract focused on developing a portable breath analysis device for COVID-19 detection. There is no overlap in the research objectives or methodologies.","The publication abstract is not related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of diagnostic technologies for COVID-19, specifically using volatile organic compounds (VOCs) and breath analysis. In contrast, the publication abstract discusses the use of ketamine as an anesthetic adjunct during monitored anesthesia care for transcatheter aortic valve replacement (TAVR), which is unrelated to COVID-19 diagnostics or VOC analysis."
34973333_phs002603.v1.p1,34973333,PMC8808168,doi:10.1016/j.jbc.2021.101550,"Enzymatic and structural characterization of HAD5, an essential phosphomannomutase of malaria-causing parasites.","Animals|Erythrocytes|Glycosylphosphatidylinositols|Humans|Malaria, Falciparum|Phosphotransferases (Phosphomutases)|Plasmodium falciparum|Protozoan Proteins|carbohydrate metabolism|crystal structure|drug development|glycosylphosphatidylinositol (GPI) anchor|haloacid dehalogenase (HAD)|malaria|parasite|phosphomannomutase","Frasse, Philip M|Miller, Justin J|Polino, Alexander J|Soleimani, Ebrahim|Zhu, Jian-She|Jakeman, David L|Jez, Joseph M|Goldberg, Daniel E|Odom John, Audrey R",The Journal of biological chemistry,Journal Article,2022,HD105594,1R61HD105594-01,phs002603.v1.p1,RADx-rad,PreVAIL kIds,1.0,"The publication abstract focuses on the enzymatic and structural characterization of HAD5, a phosphomannomutase in malaria-causing parasites. This research is centered on understanding the GPI anchor biosynthesis pathway in Plasmodium falciparum and its potential as a target for antimalarial drugs. The funding opportunity and grant abstract, however, are focused on developing diagnostic strategies for MIS-C in children related to SARS-CoV-2 infection. The publication does not address any aspects of SARS-CoV-2, MIS-C, or diagnostic methods for febrile children. Therefore, the publication is not related to the objectives of the funding opportunity or the grant abstract.","The publication abstract is not related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of novel approaches for the diagnosis and characterization of SARS-CoV-2 associated illness in children, including the multisystem inflammatory syndrome in children (MIS-C). In contrast, the publication abstract discusses the enzymatic and structural characterization of a phosphomannomutase in malaria-causing parasites, which is unrelated to the topic of SARS-CoV-2 or MIS-C."
35073931_phs002569.v1.p1,35073931,PMC8786593,doi:10.1186/s12916-022-02252-0,Dichotomy between the humoral and cellular responses elicited by mRNA and adenoviral vector vaccines against SARS-CoV-2.,"Ad26.COV2.S|Ad26COVS1|Antibodies, Viral|Antibody binding|Antigen-specific B cells|Antigen-specific T cells|BNT162b2|COVID-19|COVID-19 Vaccines|Humans|Immunity, Humoral|Neutralizing antibodies|RNA, Messenger|SARS-CoV-2|Vaccination|mRNA Vaccines|mRNA-1273","Ukey, Rahul|Bruiners, Natalie|Mishra, Hridesh|Mishra, Pankaj K|McCloskey, Deborah|Onyuka, Alberta|Chen, Fei|Pinter, Abraham|Weiskopf, Daniela|Sette, Alessandro|Roy, Jason|Gaur, Sunanda|Gennaro, Maria Laura",BMC medicine,"Journal Article|Research Support, N.I.H., Extramural",2022,HD105619,1R61HD105619-01,phs002569.v1.p1,RADx-rad,PreVAIL kIds,2.0,"The publication abstract discusses the immunogenicity differences between mRNA and adenoviral vector vaccines, focusing on antibody levels and cellular responses. While this relates to vaccine efficacy, it does not directly address the study's objective of predicting severe outcomes in children through biomarkers and machine learning models. The publication does not mention children, MIS-C, or the specific biomarkers and algorithms outlined in the grant.","The publication abstract does not directly address the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on developing novel approaches to characterize the spectrum of SARS-CoV-2 associated illness in children, including the multisystem inflammatory syndrome in children (MIS-C), and identifying biomarkers for a prognostic algorithm to predict disease severity. In contrast, the publication abstract discusses the immunogenicity of different COVID-19 vaccine types (mRNA and adenoviral vector) in a general population, comparing humoral and cellular responses. While both topics relate to COVID-19, they address different aspects of the disease and its management, with the publication abstract not specifically focusing on children, MIS-C, or the development of prognostic algorithms for disease severity in pediatric populations."
35104436_phs002689.v1.p1,35104436,PMC9851493,doi:10.1164/rccm.202110-2265OC,"Mucus Plugs Persist in Asthma, and Changes in Mucus Plugs Associate with Changes in Airflow over Time.",Asthma|Cross-Sectional Studies|Humans|Lung|Mucus|Respiratory Function Tests|air trapping|asthma|computed tomography|eosinophils|mucus plugs,"Tang, Monica|Elicker, Brett M|Henry, Travis|Gierada, David S|Schiebler, Mark L|Huang, Brendan K|Peters, Michael C|Castro, Mario|Hoffman, Eric A|Fain, Sean B|Ash, Samuel Y|Choi, Jiwoong|Hall, Chase|Phillips, Brenda R|Mauger, David T|Denlinger, Loren C|Jarjour, Nizar N|Israel, Elliot|Phipatanakul, Wanda|Levy, Bruce D|Wenzel, Sally E|Bleecker, Eugene R|Woodruff, Prescott G|Fahy, John V|Dunican, Eleanor M",American journal of respiratory and critical care medicine,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",2022,HL146002,3U01HL146002-04S2,phs002689.v1.p1,RADx-rad,Novel Biosensing and VOC,1.0,"The publication abstract discusses mucus plugs in asthma and their association with lung function changes, which is unrelated to the funding opportunity and grant abstract focused on developing rapid saliva-based COVID-19 tests. The research objectives of the funding opportunity involve biosensing technologies for COVID-19 detection, while the publication is about asthma pathophysiology.","The publication abstract is not related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of novel biosensing and detection approaches for COVID-19, while the publication abstract discusses mucus plugs in asthma and their association with changes in airflow over time. There is no mention of COVID-19, biosensing, or detection approaches in the publication abstract, indicating a lack of relevance to the funding opportunity and grant abstract."
35132260_phs002525.v1.p1,35132260,PMC9117392,doi:10.1038/s41587-021-01158-1,Curated variation benchmarks for challenging medically relevant autosomal genes.,"Genome, Human|Haplotypes|Humans|Sequence Analysis, DNA","Wagner, Justin|Olson, Nathan D|Harris, Lindsay|McDaniel, Jennifer|Cheng, Haoyu|Fungtammasan, Arkarachai|Hwang, Yih-Chii|Gupta, Richa|Wenger, Aaron M|Rowell, William J|Khan, Ziad M|Farek, Jesse|Zhu, Yiming|Pisupati, Aishwarya|Mahmoud, Medhat|Xiao, Chunlin|Yoo, Byunggil|Sahraeian, Sayed Mohammad Ebrahim|Miller, Danny E|Jáspez, David|Lorenzo-Salazar, José M|Muñoz-Barrera, Adrián|Rubio-Rodríguez, Luis A|Flores, Carlos|Narzisi, Giuseppe|Evani, Uday Shanker|Clarke, Wayne E|Lee, Joyce|Mason, Christopher E|Lincoln, Stephen E|Miga, Karen H|Ebbert, Mark T W|Shumate, Alaina|Li, Heng|Chin, Chen-Shan|Zook, Justin M|Sedlazeck, Fritz J",Nature biotechnology,"Journal Article|Research Support, N.I.H., Extramural|Research Support, N.I.H., Intramural|Research Support, Non-U.S. Gov't|Research Support, U.S. Gov't, Non-P.H.S.",2022,DA053941,1U01DA053941-01,phs002525.v1.p1,RADx-rad,Wastewater,1.0,"The publication abstract focuses on creating variant benchmarks for challenging medically relevant genes, which is unrelated to the funding opportunity and grant abstract that discuss wastewater-based surveillance for COVID-19. The publication does not address any aspects of wastewater testing, sample collection, or computational models related to the RADx-rad initiative.","The publication abstract is unrelated to the research objectives of the funding opportunity and the grant abstract. The funding opportunity and grant abstract focus on the development of wastewater-based testing for SARS-CoV-2, while the publication abstract discusses the characterization of medically relevant autosomal genes and the creation of variant benchmarks. There is no overlap or connection between the topics, indicating that the publication is not related to the research objectives of the funding opportunity and/or the grant description."
35165040_phs002563.v1.p1,35165040,PMC8757653,doi:10.1053/j.jvca.2022.01.011,Electrocardiographic Features and Outcome: Correlations in 124 Hospitalized Patients With COVID-19 and Cardiovascular Events.,COVID-19|Cardiovascular Diseases|Cohort Studies|ECG|Electrocardiography|Humans|Retrospective Studies|SARS-CoV-2|cardiovascular events|electrocardiogram|mortality,"Nathala, Pavani|Salunkhe, Vidyulata|Samanapally, Harideep|Xu, Qian|Furmanek, Stephen|Fahmy, Omar H|Deepti, Fnu|Glynn, Alex|McGuffin, Trevor|Goldsmith, Dylan C|Petrey, Jessica|Ali, Tshura|Titus, Derek|Carrico, Ruth|Ramirez, Julio|Antimisiaris, Demetra|Clifford, Sean P|Pahwa, Siddharth|Roser, Lynn|Kong, Maiying|Huang, Jiapeng|",Journal of cardiothoracic and vascular anesthesia,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",2022,TR003787,1U18TR003787-01,phs002563.v1.p1,RADx-rad,SCENT,1.5,"The publication abstract discusses ECG features and outcomes in hospitalized COVID-19 patients with cardiovascular events, which is unrelated to the funding opportunity and grant abstract focused on developing a portable breath analysis device for COVID-19 screening. The publication does not address VOCs, breath analysis, or the SCENT technology described in the funding opportunity.","The publication abstract is not directly related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on developing a portable sensing device to detect volatile organic compounds (VOCs) for COVID-19 diagnosis, while the publication abstract discusses electrocardiographic features and outcomes in hospitalized patients with COVID-19 and cardiovascular events. Although both are related to COVID-19, they address different aspects of the disease and do not share a common research objective."
35167535_phs002544.v1.p1,35167535,PMC9172997,doi:10.1364/OL.447861,Ring-shaped photoacoustic tweezers for single particle manipulation.,Acoustics|Light|Optical Tweezers|Spectrum Analysis,"Zhao, Zijie|Xia, Jianping|Huang, Tony Jun|Zou, Jun",Optics letters,Journal Article,2022,TR003778,1U18TR003778-01,phs002544.v1.p1,RADx-rad,Exosome,1.5,"The publication abstract describes a novel technique using ring-shaped photoacoustic tweezers for manipulating single or multiple microparticles. This technology focuses on particle manipulation and interaction, such as separation and grouping, which is distinct from the objectives outlined in the funding opportunity and grant abstract. The funding opportunity and grant abstract are centered on the detection of SARS-CoV-2 using exosome isolation and analysis technologies, specifically Acoustofluidic Separation (AFS) and Surface Enhanced Raman Spectroscopy (SERS). The publication does not address the detection of viruses, exosomes, or COVID-19 diagnostics, making it unrelated to the research objectives of the funding opportunity and grant.","The publication abstract does not directly address the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of technologies for the detection of SARS-CoV-2 using single extracellular vesicle, exosome, and extracellular RNA (exRNA) isolation and analysis, whereas the publication abstract discusses the development of ring-shaped photoacoustic tweezers for single particle manipulation, which is a different research area. While the publication abstract does involve the manipulation of microscale objects, it does not specifically relate to the detection of SARS-CoV-2 or the use of exosomes and exRNA for diagnostic purposes."
35192123_phs002583.v1.p1,35192123,PMC8989651,doi:10.1007/s11010-022-04383-7,Bone morphogenetic protein receptor inhibitors suppress the growth of glioblastoma cells.,BMP|BMP inhibitors|BMPR2|Bone Morphogenetic Protein 4|Bone Morphogenetic Protein Receptors|Bone Morphogenetic Proteins|Cancer stem cells|Glioblastoma|Humans|ID1|Ligands|Signal Transduction,"Kaye, Joel|Mondal, Arindam|Foty, Ramsey|Jia, Dongxuan|Langenfeld, John",Molecular and cellular biochemistry,Journal Article,2022,HL150852,5U01HL150852-02,phs002583.v1.p1,RADx-rad,Novel Biosensing and VOC,1.0,"The publication abstract discusses the use of bone morphogenetic protein receptor inhibitors to suppress the growth of glioblastoma cells, which is unrelated to the funding opportunity and grant abstract focused on developing a breathalyzer diagnostic platform for COVID-19. The publication does not address any aspects of biosensing, VOC detection, or COVID-19 diagnostics.","The publication abstract is not related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of novel biosensing and detection approaches for COVID-19, while the publication abstract discusses the role of bone morphogenetic protein receptor inhibitors in suppressing the growth of glioblastoma cells, which is a completely different topic."
