project_num,dbgap_accession,research_initiative,sub_project,project_serial_num,title,focus,description
1R44DE030841-01,phs002550.v1.p1,RADx-rad,Novel Biosensing and VOC,DE030841,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Direct Bioelectronic Detection of SARS-CoV-2 From Saliva Using Singlemolecule Field-effect Transistor Array,COVID-19,"Nucleic acid test-standard for diagnostics testing for COVID-19, usually performed in specialized laboratories. Most are based on reverse-transcription quantitative polymerase chain reaction (qRT-PCR). The time required for specimen transport and processing results in a turnaround time that is typically several days. The few rapid (&lt;1hour) point-of-care (POC) tests are more expensive, still require sample preparation and specialized reagents, and do not have the throughput needed for population surveillance. Direct testing for the virus, which also reduces requirements for multiple reagents, is a necessary step to improving diagnostic testing. While four such antigen tests have been approved for detection of SARS-CoV-2 based on immunoassays to the N protein, sensitivity is limited and no quantitation of viral load is possible.We will address this gap by using Diagnostic (TM), an in-development rapid POC platform for direct, real-time, multiplexed, quantitative bioelectronic detection of biomolecules that employs an all-electronic detection device that functions at the single-molecule level. These single-molecule field-effect transistors (smFETs) are arrayed on a complementary metal-oxide semiconductor (CMOS) integrated circuit chip. Chips will interface with an envisioned USB-stick-form-factor reader device. Robust single-domain antibodies, known as nano bodies and immobilized on these devices, are used for sensitive detection of viral particles and viral debris. The use of multiple nanonodies for a single protein and nano bodies for different proteins in a single assay allows for significant improvements in specificity. Nanobodies will be specific for one or more of the four major structural proteins in SARS-CoV-2: the nucleocapsids (N) protein engulfing the final RNA, the spike (S) protein, the membrane (M) protein, and the envelope (E) protein. No sample preparation or specialized reagents are required for detection, and the device will be designed to operate with saliva, which has very recently been shown be a reliable medium for detecting SARS-CoV-2. Individual sensor chips can be manufactured at a cost of $35. With the addition of other nanobodies, these large dense arrays can also allow detection of many pathogens in a single test.In this Direct-to-Phase SBIR program we will pursue several key innovations that are required to make such a platform possible, including isolation of nano bodies for key structure proteins of SARS-CoV-2 (Specific Aim 1), development of the smFET platform for antigen detection (Specific Aim2), development of large CMOS arrays of these smFET devices (Specific Aim 3), and verification of detection in increasingly complex samples up to and including clinical samples (Specific Aim 4). This project is a partnership between university researchers who developed the smFET technology and a venture-based start-up venture, Quicksilver Biosciences, spun out to commercialize smFET technology and develop smFET/CMOS arrays for molecule diagnosis applications."
1R01MD016526-01,phs002551.v1.p1,RADx-rad,Multimodal Surveillance,MD016526,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Marshallese: Alternate Surveillance for COVID-19 in a Unique Population,COVID-19,"Marshallese Pacific Islanders bear a disproportionate burden of COVID-19 infection, hospitalization, and death, with rates 4 to 25 times higher than those of other US racial and ethnic groups in the Continental US. For example, in Northwest Arkansas Marshallese people represent less than 3% of the total population, but they account for 1 out of 5 COVID-19 cases in this area. Similarly, Marshallese represent just 1% of the population in Spokane County, Washington, but were nearly 30% of COVID-19 cases between March and May, 2020. Social determinants of health have powerful influences on community and individual risks for COVID-19.18 Culturally, the Marshallese community is extremely tight-knit, self-contained, and highly clustered; they often live in multi-generational households; and they traditionally value close contact and large social events, all of which increase vulnerability to the COVID-19 pandemic. Marshallese are important recipients of effective surveillance efforts given the disproportionate impact of COVID-19 on this population and the long-standing disparities in health and health care. The MASC-UP study will generate novel data that reflect variation in risk of COVID-19 infection based on one's place in the highly clustered Marshallese community. For Specific Aim 1, bilingual Marshallese Community Health Workers will recruit and train a longitudinal cohort of 800 Marshallese adults, ages 18 and older, in participatory disease surveillance methods that include using a wireless thermometer to continuously track body temperature; social media and text messaging in which participants (aka citizen scientists) can report symptoms; and a CHW helpline to report symptoms and request COVID-19 information. Participatory disease surveillance complements traditional surveillance systems by engaging communities in reporting COVID-19 symptoms and events. Its strengths lie in the speed at which data can be made available, the ability to scale the technology to obtain data at low cost, and the ability to cover populations that might not otherwise be tracked. For Specific Aim 2 participants will complete an ego-centric contact survey to characterize the social contact networks of members in the disease surveillance cohort from Aim 1. The networks will allow identification of people at highest risk of COVID-19 infection and elucidate targets for high-impact preventive intervention. For Specific Aim 3 we will integrate findings from Aims 1 and 2 into the existing test-based disease surveillance currently being performed at the state and local levels. This Aim will augment existing surveillance systems that have proved insufficient to stem the pandemic in Marshallese people. The proposed study will be generalizable to other high risk, clustered underserved populations."
1R61HD105590-01,phs002553.v1.p1,RADx-rad,PreVAIL kIds,HD105590,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Characterization of Multisystem Inflammatory Syndrome in Children and its Relationship to Kawasaki Disease,COVID-19,"As the COVID-19 pandemic evolved in early 2020, case reports appeared describing children with unusual febrile illnesses with elevated inflammatory markers and multi-system involvement that is now termed Multisystem Inflammatory Syndrome in Children (MIS-C). The illness occurs weeks following exposure to SARS-CoV-2 and these children have a wide spectrum of disease severity, ranging from cardiogenic shock to milder illness that can be self-limited. To address an urgent, unmet clinical need, investigative teams across three countries will join forces to discover and validate a diagnostic test to identify children with MIS-C and predict progression of disease.The emergence of MIS-C is so new and so rapidly evolving that there are currently no diagnostic tests to identify these patients, nor are there tools to predict disease progression. Through established, funded, multi-center consortia in the U.S. (CHARMS: Characterization of MIS-C and its Relationship to Kawasaki Disease funded by PCORI) and the U.K. (DIAMONDS), we will collect clinical data and samples to support the proposed studies. First, we will generate transcript, protein and antibody datasets from children with COVID-19, MIS-C, and with other febrile illnesses. Next, we will use these data to devise tests to distinguish children at risk of progression to severe COVID-19 or MIS-C and diagnostic tests to distinguish these conditions from other causes of fever in children. Continuing our established collaboration with Columbia University, we will define the antibody repertoire against all known human coronaviruses and determine how pre-existing antibodies to other coronaviruses may shape the immune response in acute SARS-CoV-2 infection and MIS-C. The first two years (R61) will build on the expertise of the assembled teams to discover unique proteomic and transcriptomic patterns in MIS-C and SARS-CoV-2-infected patients, and relate clinical parameters of antibody response to coronaviral antigens profiled on peptide arrays. This work will leverage already banked plasma, serum, and RNA samples from children with COVID-19, MIS-C, Kawasaki disease and other inflammatory conditions. Rigorous Go/NoGo criteria have been established and will determine progression to the R33 phase. The final two years (R33) will focus on platform development and multicenter and bi-national test validation to diagnose and predict severity in children with SARS-CoV-2 infection or MIS-C based on: aptamer technology, lateral-flow protein detection, point-of-service RNA or antibody profiling with commercial partners. De-identified clinical and molecular data will be deposited in the [RADx-rad hub](https://www.nih.gov/research-training/medical-research-initiatives/radx/radx-programs#radx-rad) to facilitate data sharing. Many potential hurdles in this type of research have already been overcome: a) IRB-approved patient recruitment for data and samples is on-going, b) clinical samples have been banked, c) strong preliminary data have been generated on RNAseq, aptamer proteomics, and coronaviral antibody responses, and d) the teams have a strong track record of previous collaboration and productivity. The synergistic expertise of these investigative teams in this multi-center proposal provides a unique opportunity to create diagnostic and prognostic tools for children suffering from the spectrum of SARS-CoV-2 illnesses. "
4U54HL119145-08,phs002561.v1.p1,RADx-rad,Novel Biosensing and VOC,HL119145,"Rapid Acceleration of Diagnostics - Radical (RADx-rad): A Rapid, Sensitive, Point-of-Care, Antigen-Based Diagnostics for SARS-CoV-2",COVID-19,"A rapid, sensitive, low-cost diagnostic device for early detection of novel Coronavirus Disease (COVID-19) could significantly change the paradigm in real-time and efficient management of patients and available healthcare resources, specifically during this time of increased demand for hospital services. The quantitative real-time polymerase chain reaction (qPCR) represents the most important method for the diagnosis of COVID-19 at its early stage of infection and before the appearance of clinical symptoms. However, qPCR-based molecular diagnostics are bulky, expensive, lab-based, and require trained personnel for system operation. The majority of the FDA EUA-approved COVID-19 diagnostics are PCR-based, which require nucleic acid extraction, followed by amplification via thermal cycling. Such systems also require relatively expensive/bulky equipment for sample processing. Recent studies have shown large, up to 10,000-fold variations, in the limit of detection (LoD) of some of the nucleic acid-based and antigen-based COVID-19 diagnostics currently approved under emergency use authorization (EUA). Therefore, there is still a need to develop Point of Care (POC) diagnostics, and particularly antigen-based SARS-CoV-2 detection devices, with LoD comparable to PCR-based assays. The main goal of this interdisciplinary project is to develop a portable diagnostic system for rapid and sensitive detection of intact SARS-CoV-2 in low-volume COVID-19 patient samples, such as anterior/nasopharyngeal/oropharyngeal swab samples, using an inexpensive, disposable, and mass-producible microfluidic cartridge."
1U18TR003787-01,phs002563.v1.p1,RADx-rad,SCENT,TR003787,Rapid Acceleration of Diagnostics - Radical (RADx-rad): A Handheld Microchip for GC Analysis of Breath to Screen for COVID-19,COVID-19,"The COVID-19 pandemic has caused unprecedented societal suffering and economic disruption. Although current COVID-19 diagnostic testing technologies are critical for curbing the spread of the virus and preventing future outbreaks, they are not practical for field use. Current diagnostic tests are cumbersome to perform because they use aqueous solutions, require multiple steps, and hours to days to obtain results. Therefore, there is an urgent need to develop a diagnostic approach that is non-invasive, portable, and can rapidly provide test results. The overall goal of the project is to develop a mobile breath analysis technology for rapid screening for COVID-19 using a handheld breath collection tool and a portable GC with a photoionization detector (PID). The handheld tool will be a closed system for trapping target volatile organic compounds (VOCs) on a microfabricated chip. The captured VOCs will be eluted with a solvent and then analyzed using a portable GC-PID instrument. Artificial intelligence (AI) and machine learning algorithms will be applied to recognize the VOC pattern that correlates with COVID-19 infection. The central innovation is the microfabricated chip that captures VOCs in exhaled breath, and thus serves as a preconcentrator, which enables analysis of the captured VOCs by the portable GC-PID. The hypothesis is that VOC metabolome in exhaled breath is directly related to the body&#39;s reaction to tSARS-CoV-2 infection, and the changes of VOC profile in exhaled breath relative to healthy controls can be used to detect both symptomatic and asymptomatic COVID-19 patients. The University of Louisville is uniquely suited to rapidly transition the microchip technology to field use because of the PI and Co-PI&#39;s experience in breath analysis and translational research, and the project team&#39;s experience in virology, infectious diseases, biostatistics, and artificial intelligence, as well as the state-of-the-art facilities that include a MicroNano Technology Center, Biosafety Level 3 Regional Biocontainment Lab, and an NIH-funded REACH program."
1U01AA029316-01,phs002565.v1.p1,RADx-rad,Automatic Detection & Tracing,AA029316,"Rapid Acceleration of Diagnostics - Radical (RADx-rad): Touchscreen-Compatible, Real-Time Electrochemical Sensing of SARS-CoV-2",COVID-19,"We are developing an electrochemical assay for detecting SARS-CoV-2. We will be generating data that includes a signal for a given virus or spike (S) protein concentration, as well as binding constants for molecular recognition agents."
1R61HD105619-01,phs002569.v1.p1,RADx-rad,PreVAIL kIds,HD105619,Rapid Acceleration of Diagnostics - Radical (RADx-rad): COVID-19 Network of Networks Expanding Clinical and Translational Approaches to Predict Severe Illness in Children (CONNECT to Predict SIck Children),COVID-19,"This study's objective is to understand which children are at the highest risk for experiencing severe consequences from SARS-CoV-2 infection. The study will use clinical, epidemiologic, and sociodemographic data, alongside specific biomarkers, and create machine-learning models designed to predict severe consequences. In order to accomplish this, we will establish a network of various networks and sites to examine subjects who have previously had infections or complications and subjects with active infections or complications, through both prospective enrollment and collection of data and biospecimens, as well as through retrospective analyses of diverse datasets."
1R42DE030829-01,phs002570.v1.p1,RADx-rad,Novel Biosensing and VOC,DE030829,Rapid Acceleration of Diagnostics - Radical (RADx-rad): A Multimodal Platform for Oral Screening of COVID-19,COVID-19,"This project will develop a multiplexed sensor platform based on nanomaterials capable of rapid simultaneous detection of multiple components of viral particles in a field-applicable electrochemical device. The device has synthetic biosensors that, in a multimodal, rapid, accurate, inexpensive, field-deployable test, will detect multiple SARS-CoV-2 biomarkers."
1R42DE030832-01,phs002572.v1.p1,RADx-rad,Novel Biosensing and VOC,DE030832,Rapid Acceleration of Diagnostics - Radical (RADx-rad): A SARS-CoV-2 Breathalyzer for Direct Virus Detection,COVID-19,"A substantial and growing body of evidence has demonstrated that COVID-19 is transmitted by human-emitted airborne particles; therefore, it is critical to rapidly screen individuals to determine whether they are at risk of transmitting the disease to others before they enter large venues (e.g., airports, schools), and smaller ones where extended exposure or close proximity is expected (e.g., dental offices, hair salons). Given the large number of asymptomatic cases of the disease, the infrared thermometers and health questionnaires frequently used to screen individuals are plainly inadequate. Existing SARS-CoV-2 detection technology is time consuming and complicated to use, expensive, not portable, and therefore ill-suited to use as point of care (POC) screening tools. Tests recently approved by the FDA under the Emergency Use Authorization face some of the same challenges. The goal of this project is to develop and test a novel breathalyzer for detecting aerosolized SARS-CoV-2 directly from exhaled breath in near real-time by marrying a proven, cutting-edge aerosol sampling technology with a novel and inexpensive virus detector. The innovation is directly detecting virus in the breath, while other breathalyzers depend on indirect detection (VOCs and AI algorithms) to infer the presence of the virus. In this Fast-track Small Business Technology Transfer (STTR) project, Aersol Devices Inc. (ADev) will modify its commercial bioaerosol collector, which is used to sample from the ambient environment, to enable it to collect viruses from breath samples into a concentrated liquid sample. The University of Minnesota (UMN) will modify its Magnetic Particle Spectrometer (MPS), a version of which has previously been used to detect Influenza A H1N1 virus, so that the liquid samples from the collector can be analyzed to detect SARS-CoV-2. Specific aims include developing the hardware for transforming an ambient sampler into a breath sampler, designing a rapid means of decontaminating the collector between tests, integrating the collector and the detector into a robust package, functionalizing magnetic nanoparticles with SARS-CoV-2 antibodies, increasing the signal/noise ratio of the MPS electronics, reducing the assay time, improving the analytical sensitivity/specificity, measuring the clinical sensitivity/specificity and comparing to RT-qPCR in pre-clinical testing. The technology platform proposed is flexible and extensible and could be tailored to detect other pathogens (e.g., rhinoviruses, respiratory syncytial virus, parainfluenza virus, other coronaviruses, etc.). This flexibility is valuable since (1) this will not be the last pandemic (new pathogens in the future), and (2) development could pivot to a different pathogen if a vaccine or other control measures bring the current COVID-19 pandemic under control before this SARS-CoV-2 breathalyzer is commercially available."
1U01AA029348-01,phs002573.v1.p1,RADx-rad,Automatic Detection & Tracing,AA029348,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Detection and Automatic Privacy-Protected Contact Tracing System Designed for COVID-19,COVID-19,"The goal of the project is to develop a pipeline for automatic detection and tracing of active SARS-CoV-2 infection in a cost-effective, highly accurate, real-time, portable, and super-encrypted manner. Our integrated approach first captures viral particles from patient samples to activate fluorescence reporters, followed by signal detection using a smartphone fluorimeter, along with blockchain-based data processing and tracing. We deployed designer DNA ""net"" nanostructures that match the spatial pattern of trimeric spike glycoprotein clusters on the viral outer surface for specific and rapid SARS-CoV-2 virion detection, a smartphone-based point-of-care device for portable signal reading, and blockchain encryption for privacy protection during result recording and track tracing. Therefore, our detection and tracing model allows direct, automatic, and cost-effective detection, a highly flexible result acquisition process, and a super-encrypted data transition and tracing system."
5U01HL150852-02,phs002583.v1.p1,RADx-rad,Novel Biosensing and VOC,HL150852,Rapid Acceleration of Diagnostics - Radical (RADx-rad): A Rapid Breathalyzer Diagnostics Platform for COVID-19,COVID-19,"We propose to develop a novel testing platform that detects SARS-CoV-2 virions in a patient&#39;s breath. When a person exhales into the COVID breathalyzer, droplets and other emitted particles are captured by a liquid impactor inside the collection unit. Subsequently, the captured particles are deposited onto a microfluidic chip that contains nanowell sensors (patent pending) capable of detecting the presence of the SARS-CoV-2 virus. The device will provide results within a time frame of 20 minutes using an impedance measurement approach. Importantly, we propose to develop a novel platform technology that could be easily adapted to future needs and challenges, not only as the virus causing COVID-19 evolves in future years, but also to provide multiplexing capabilities to detect multiple viruses in tandem. The target product profile (TPP) of our solution will stand out against the current and future standard of care in viral antigen screening tests as a new disposable breathalyzer that is not invasive compared to traditional sampling techniques, is easy to use with rapid point of care results, and has accurate reporting with high sensitivity and specificity."
1R61HD105593-01,phs002585.v1.p1,RADx-rad,PreVAIL kIds,HD105593,Rapid Acceleration of Diagnostics - Radical (RADx-rad): AICORE-kids,COVID-19,"This work is directed at characterizing pediatric COVID-19 and stratifying incoming patients by projected (future) disease severity. Such stratification has several implications: immediately improving treatment planning, and as disease mechanistic pathways are uncovered, directing treatment. Predicting future severity will inform the risks of outpatient treatment - to the patients themselves, their family, other caregivers/cohabitants, and to schools and employers. As varying levels of ""reopening"" are adopted across the country (and the world), such prognostication will inform policy on the handling of pediatric carriers in the community. Based on our preliminary analysis, we assert that a combination of novel assays, including quantitative serology inflammatory markers (cytokine/chemokine profiles, immune profiles), transcriptomics, epigenomics, longitudinal physiological monitoring, time series analysis, imaging, radiomics and clinical observation including social determinants of health, contain adequate information even at early stages of infection to stratify the disease and predict disease severity. We propose an artificial intelligence/machine learning approach to integrate this rich and heterogeneous dataset, characterize the spectrum of disease, and identify biosignatures that predict severity in progressive disease. To facilitate translation of the approaches developed in this work to a wide user community, we incorporate a Translational Development function, to oversee the design-control process and ensure readiness of our methods for regulatory review. Incorporated into our timelines are appropriate regulatory milestones intended to conform with the Emergency Use Authorization (EUA) programs in effect for SARS-CoV-2 diagnostics."
1U18TR003775-01,phs002588.v1.p1,RADx-rad,SCENT,TR003775,"Rapid Acceleration of Diagnostics - Radical (RADx-rad): Effective, Reagent-Free Detection of the Odor Signature of COVID-19 Infection Using a Nano-Enabled Sensor Array",COVID-19,"COVID-19 presents a public health emergency. There is a critical need for rapid, not reagent intensive, non-invasive testing technologies. This program will lead to the production of a prototype system to diagnose COVID-19 infection using the body odor signature of the disease. Our goal is to maximize societal impact by creating a validated prototype that can be used in a community or workplace setting by minimally trained personnel for low-cost, on-the-spot diagnosis within minutes. The system will be developed in a manner that puts it on a pathway for rapid FDA approval. The Research Aims are: - Aim 1. Optimization, assembly, and integration of a prototype system with the ability to odor signature of COVID-19 in samples of body odor. The system will be simple to use, pose essentially zero risk to the operator and the test subject, and report a result within minutes. The production cost at scale will be approximately &#36;9,000 for the complete measurement system, with a per test cost of approximately &#36;0.50. The design and construction of the prototype will be conducted by Novo Engineering, a leading firm with extensive experience in medical device development. - Aim 2. Software development. Software for the system from VOC sampling to final diagnostic result will be developed to ensure error-free operation of the device. Our preliminary results suggest that simple linear discriminant analysis (LDA) does an excellent job of classifying VOCs from human body odor as COVID-19 positive or negative (92&#37; sensitivity and 87&#37; specificity). Optimization of the sensor array (Aim 1), and use of richer feature sets in our classifier models, will lead to further performance improvements in the prototype system. - Aim 3. System Benchmarking and Validation. We will benchmark the full prototype system against a number of VOC mixtures, with and without in vitro skin models. The system will undergo extensive testing against body odor samples from individuals with pathological conditions other than COVID-19 and other sources of potentially confounding VOCs. The prototype will be validated against 400 samples drawn from the COVID-SAFE program at Penn. The screening will include all members of the Penn community, and represents incredible racial and ethnic diversity as well as a wide variance in age, sex, and gender. - Aim 4. Regulatory Approval Plan. A regulatory approval plan will be developed under the direction of Senior/Key personnel John Fuson, JD, an attorney at Crowell &amp; Moring LLP and a former Associate Chief Counsel at FDA. Novo Engineering has extensive experience in guiding prototype design in alignment with the requirements for FDA approval. The proposed COVID-19 VOC-based testing device will be regulated by the FDA, likely as a Class I or II medical device. Because there is no clear predicate device to reference in this case, we intend to submit a direct de novo petition to the FDA asking the agency to categorize and clear the proposed COVID-19 testing device as Class I or Class II without reference to any predicate."
1U18TR003795-01,phs002600.v1.p1,RADx-rad,SCENT,TR003795,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Portable GC Detector for COVID Diagnostics,COVID-19,"The data herein combines GC-MS and GC-DMS analysis of exhaled breath vapor compounds. The intent of this study is to develop a portable GC-DMS system to diagnose SARS-CoV-2 infections from a breath sample. The data was collected from hundreds of subjects in an IRB-sanctioned study. Breath vapor samples were collected from COVID-19(+) patients, including asymptomatic and symptomatic, and from healthy COVID-19(-) controls. Relevant human demographic information, such as age, gender, height, weight, symptoms at time of sampling, etc., was also collected. "
4U54HL119145-08,phs002602.v1.p1,RADx-rad,Novel Biosensing and VOC,HL119145,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Virus Counter: Rapid and Sensitive Diagnostics Based on Digital Detection of Individual Pathogens,COVID-19,"To help diversify the approaches that can be used to sensitively detect SARS-CoV-2 and improve response resilience, we will pivot an established virus detection system that has already shown the ability to detect viruses such as Ebola and Marburg viruses, and develop a focused assay for SARS-CoV-2. In parallel, we will prototype rapidly scalable sensor chips and an automated reader to allow us to deploy a rapid and sensitive point-of-care (POC) viral diagnostic assays based on a simple interferometric reflectance imaging sensor (IRIS) platform. The multiplexed and configurable assays using robust universal DNA functionalized sensor chips, proposed diagnostic can be performed in the presence of influenza. A patient with flu-like symptoms can be diagnosed with flu or COVID-19, or both as feared that these infections can occur concurrently. We will also prototype a high-throughput system that tests samples directly in MicroWell plates to run 2,000 tests/day per instrument."
1R61HD105594-01,phs002603.v1.p1,RADx-rad,PreVAIL kIds,HD105594,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Diagnosis of MIS-C in Febrile Children,COVID-19,"The recent emergence of SARS-CoV2 and resultant pandemic of COVID-19 disease has overwhelmed global health systems and led to over 200,000 American deaths to date. While initial reports suggested that SARS-CoV-2 infection in children was generally being, a novel post-inflammatory syndrome known as multi system inflammatory syndrome in children (MIS-C) has now been described. MIS-C is characterized by fever, systemic inflammation, and end-organ involvement, and the majority of patients are IGG seropositive for SARS-CoV-2. Because the clinical features of MIS-C overlap with other infections and inflammatory disorders, new strategies for diagnosis of MIS-C in febrile children are urgently needed. Our immediate objective is to determine the reproducible changes in breath, urine, and salivary volatile composition in children diagnosed with MIS-C. We will integrate these discovery studies with clinical and immunological profiling to develop and validate a novel and much needed MIS-C diagnostic, which is expected to have a major impact on share of febrile children. Our long-term goal is to develop a diagnostic strategy to distinguish children with MIS-C from children with other causes of fever."
4R33HD105594-03,phs002603.v1.p1,RADx-rad,PreVAIL kIds,HD105594,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Diagnosis of MIS-C in Febrile Children,COVID-19,"The recent emergence of SARS-CoV2 and resultant pandemic of COVID-19 disease has overwhelmed global health systems and led to over 200,000 American deaths to date. While initial reports suggested that SARS-CoV-2 infection in children was generally being, a novel post-inflammatory syndrome known as multi system inflammatory syndrome in children (MIS-C) has now been described. MIS-C is characterized by fever, systemic inflammation, and end-organ involvement, and the majority of patients are IGG seropositive for SARS-CoV-2. Because the clinical features of MIS-C overlap with other infections and inflammatory disorders, new strategies for diagnosis of MIS-C in febrile children are urgently needed. Our immediate objective is to determine the reproducible changes in breath, urine, and salivary volatile composition in children diagnosed with MIS-C. We will integrate these discovery studies with clinical and immunological profiling to develop and validate a novel and much needed MIS-C diagnostic, which is expected to have a major impact on share of febrile children. Our long-term goal is to develop a diagnostic strategy to distinguish children with MIS-C from children with other causes of fever."
1U01DA053949-01,phs002604.v1.p1,RADx-rad,Wastewater,DA053949,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Tracking the COVID-19 Epidemic in Sewage (TRACES),COVID-19,"Wastewater based testing (WBT) holds great promise for cost-effective population surveillance and transmission tracking of SARS-CoV-2, but optimal sampling modalities and protocols are unknown. Taking advantage of a diverse inner city urban campus encompassing undergraduate, postgraduate dorms, research buildings and medical facilities, this project includes optimization of WBT surveillance strategies for waste streams at the building level, surrounding sewersheds, and wastewater treatment plants, as well as modeling of case counts using normalized WBT data. Metatranscriptomics approaches will also be applied to track circulating and emerging SARS-CoV-2 variants and to develop point-of-use microfluidics systems for timely WBT. "
1R61HD105613-01,phs002609.v1.p1,RADx-rad,PreVAIL kIds,HD105613,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Identifying Biomarker Signatures of Prognostic Value for Multisystem Inflammatory Syndrome in Children (MIS-C),COVID-19,"The purpose of this study is to develop a tool that can diagnose multisystem inflammatory syndrome in children (MIS-C.) Some children and young adults who have had Covid-19 develop this rare disease about a month after they recover. It can be serious as it causes inflammation in various organs, including heart, lungs, kidneys, brain, skin, eyes, and intestines. MIS-C has symptoms similar to several diseases, including Covid-19 and Kawasaki disease, making diagnosis difficult. Currently, patients must undergo a battery of tests in order to diagnose MIS-C, including blood work, x-rays, and echocardiograms, which can take several days, delay treatment, and subject parents and children to the anxiety that is associated with an un-diagnosed, concerning illness. For the new diagnostic test, we are using an existing invention, a Grating-Coupled Fluorescence Plasmonic (GCFP) chip. It's a small gold chip that can analyze up to 400 biomarkers at once, whereas common methods are only able to analyze one biomarker at a time. We hope to identify biomarkers that are only present, or are present in higher or lower numbers, when someone has MIS-C. The ability to include multiple biomarkers on one chip is very powerful as several biomarkers are likely involved with this disease. If we can identify these biomarkers, a doctor could place a drop of a patient's saliva or blood on the chip, and the chip will quickly tell if the patient has MIS-C or something else that looks like MIS-C. We are recruiting participants at four hospitals in the USA and Colombia, collecting their blood, saliva, and health information, and following them for up to four years. Scientists at five laboratories will study the blood and saliva to identify biomarkers, and also study the microbiome to better understand why some children develop MIS-C or become seriously ill, while others do not."
1U01DC019573-01,phs002631.v1.p1,RADx-rad,Chemosensory Testing,DC019573,Rapid Acceleration of Diagnostics - Radical (RADx-rad): Rapid Olfactory Tools for Telemedicine-Friendly COVID-19 Screening and Survey,COVID-19,"The COVID-19 pandemic is the most devastating infectious disease outbreak in a century, particularly in underserved and minoritized communities. In 2020 alone, it costed a million lives. It continues to wreak economic havoc worldwide. Therefore, it is critical to develop new tools that can mitigate the spread of SARS-CoV-2, the virus that causes COVID-19. Rapid screening tools can identify potentially infected individuals who can then be isolated/quarantined from the uninfected and directed towards further testing and treatment. Unfortunately, definitive viral testing for SARS-CoV-2 has proven difficult to implement in many countries, including the US, due to technical, financial and governmental hurdles to universal access and timely processing. Symptom-based screening offers a valuable, albeit imperfect, complement to viral testing that can help identify many individuals with the disease for isolation as well as treatment. A major challenge with symptomatic testing is that COVID-19 is highly protean; the heterogeneity of symptoms means that no single symptom or constellation of symptoms is definitive diagnostically. Still, there is growing evidence that sudden partial or complete olfactory loss, even more than other symptoms such as fever or dry cough, is the single best predictor of COVID-19. In this proposal, we will develop and implement objective, self-administered smell tests for the purpose of identifying individuals with COVID-19 prior to, or in the absence of, viral testing, as well as for use in population-level surveillance of COVID-19 spread. Several kinds of objective tests have been used in clinical or laboratory settings to assess an individual's olfactory ability, including those that test the ability to identify or discriminate odors as well as procedures to determine the lowest concentration an individual can reliably perceive (i.e., odor detection threshold). Each approach has technical and logistical advantages and disadvantages, and each captures different aspects of olfactory dysfunction. Regarding COVID-19, it is unknown what type of measure has the highest specificity or sensitivity. In Aim 1, we will use self-administered objective testing of odor identification and odor detection threshold in SARS-CoV-2-tested individuals to determine which olfactory measure is the best predictor of COVID-19. In Aim 2, we will use objective smell testing to assess whether population monitoring of olfactory loss in University, municipal or other community settings can serve as a sentinel of COVID-19 community spread. Together, our studies will provide a rapid, remote-friendly, cost-effective, scalable, non-intrusive method to screen for COVID-19 at the individual level and to assess prevalence in communities, especially those that have been traditionally underserved by the health care system and public health infrastructure. "
3R01DC016112-04S1,phs002642.v1.p1,RADx-rad,Chemosensory Testing,DC016112,Rapid Acceleration of Diagnostics - Radical (RADx-rad): A Confectionary-Based Screening Tool for Assessing Chemosensory Loss in COVID-19 Patients,COVID-19,"The goals of this Emergency Competitive Revision are to develop (Aim 1) and deploy (Aim 2) a novel, objective, psychophysical smell and taste screening test to detect the onset of COVID-19 in at-risk populations. Complementary to the temperature screening procedures currently in use, this tool is predicted to promote early identification of COVID onset leading to better prognoses and the early implementation of protocols to prevent community spread. Our specific plan is to use a hard-candy containing different combinations of tastants and flavors that are easy to distribute to a large population. During the development phase (Aim 1), this novel test will be compared with the NIH toolbox to assess the acceptability and efficacy of the two methods. We expect that the hard-candy assessment will be at least as efficacious in detecting chemosensory loss but more acceptable to subjects. Aim 2 will entail daily self-monitoring of chemosensory function in at-risk populations with data tracked through a secure online portal. The novelty of this confectionary-based test is that it provides standard stimuli that can yield objective measures of both the qualitative and quantitative aspects of smell (aroma and flavor) and taste (sweet and sour). Moreover, both orthonasal and retronasal olfactory function will be independently assessed. The test can be self-administered and the familiar, pleasant nature of the stimuli should facilitate a high compliance rate, allowing for continuous monitoring over prolonged periods. Moreover, the test is rapid and inexpensive. Data will be incorporated into a predictive model for COVID-19 and assessed using AOC analyses of sensitivity and specificity. The [Ohio State University](https://www.osu.edu/) is a leading large public land grant University with a varied population of students, faculty, and support staff that includes all health care specialties. These characteristics, along with the University-mandated regular polymerase chain reaction (PCR) testing of students and staff, make it a perfect site to perform this urgent research."
